WesternProvince,CentralProvince,SouthernProvince,SabaragamuwaProvince,EasternProvince,NothernProvince,NothernWesternProvince,NorthCentralProvince,UvaProvince
Aboyne ,Abasingammedda,Abakolawewa,Abuwangala,Addalaichenai,Aayili,Abakolawewa,Achari Madatugama,Agalle
Adikarigoda,Adhikarigama,Abesekaragama,Adavikanda,Akkaraipattu,Adampan,Abbowa,Acharigama, Agampodigama
Adikarimulla,Agalakumbura,Abeyesekaragama,Adawikanda,Ampara,Alampil,Abokkagama,Achchirikulama, Aggalaulpota
Adikkandiya,Agalawatta,Acharigama,Adikariya,Ampilanthurai,Alvai,Achari Hinukwewa,Achirigama, Akurukaduwa
Adupe,Agappola,Acharigoda,Agalagama,Arayampathy,Alaveddi,Achari Ihalagama,Achiriyagama, Alakkangama
Agalawatta,Agrapatana,Addarawellana,Agalagamuwa,Batticaloa,Achchankulam,Baburugama,Badahela Etawetunuwewa, Alakolagalagama
Agalegedara,Agrapatna,Agala Kanda,Agalawatta,Central camp,Achchelu,Badabadda,Badahela Ranorewa, Alakolawatta
Ahugammana,Akarahaduwa,Agalaboda,Agalekumbura,Chenkalady,Achchuveli,Badabeddegama,Badahelagama, Alanmulla
Akaragama,Akkarawatta,Agaliya,Agaregama,Divulapothana,Adaichakal,Badabeddewa,Bakamuna, Alawatugoda
Akarangaha,Akuramboda,Aggarahere,Ahaspokuna,Eruvil,Adukkalamoddai,Badagane,Bakamuneulpota, Alokkangama
Akarawita,Akurambodwatta,Ahangama,Ahuliyadda,Eravur,Adampam,Bakmeegolla,Challitivu, Alpitiya
Akkaragoda,Akurana,Akuressa ambalangoda,Akarella,Kalmunai,Adampan,Cement Factory,Dachchi Hammillewa, Alubogolla
Akureliya,Aladeniya,Awiththawa,Akurana,Karaitivu,Adampanai,Chandrayagama,Dachchidamana, Alugalge
Akurukalawita,Alagalla Kondagama,Babarenda Central,Akurugegangoda,Kanchikudicharu,Adampantalvu,Chenaikudirippu,Dachihalmillewa, Alugalge
Akurumulla,Alagalla Pahalagama,Babarenda North,Akwatta,Kokkaddicholai,Adappankulam,Chenaikudiyirippu,Dahanekwewa, Alugolla
Alakandupitiya,Alagoda,Babarenda South I,Alagalkanda,Kaluwanchikudy,Adiyakulam,Chenakudiruppu,Damala Hammillewa, Alukalawita
Alavi,Alakagama,Babarenda South II,Alagalla,Kathiraveli,Aiyamperumal,Chettichena,Diyabeduma, Aluketiyawa
Alawala,Alakola-anga,Badabadda,Alakolaella,Kattankudy,Akattikkulam,Chettisena,Echchankulama, Alulwela
Alawatupitiya,Alakola-ela,Badahelagoda,Alankarapanguwa,Kantale,Allaippiddi,Chettychena,Egodagama, Alupota
Alubomulla,Alakoladeniya,Badalgeda,Alapaladeniya,Lahugala,Analativu,Chilan,Ehetuwagama, Alupota
Alubowila,Alakolamada,Baddegama,Alapalawala,Mandur,Annangkai,Chilaw,Ehetuwewa, Alupota
Alugolla,Alakolamaditta,Baddegama East,Alawala,Maruthamunai,Amichchi Kulam,Dabarayaya,Elagamuwa, Alupota Town
Alutepola,Alakolawewa,Baddegama North,Alawatura,Navithanveli,Aiyanaar Koayiladi,Dachchilanda,Galagedaragama, Aluttarama
Alutgama Bogamuwa,Alanduwaka,Baddegama South,Alawwa,Nintavur,Aiyanaar puram,Dadapolagama,Galahitiyagama, Alutwela
Alutgama East,Alapalawala,Bentota,Aldora,Oluvil,Aiyanaar-puram,Dadapolagamuwa,Galapitagala, Alutwela
Alutgama West,Alapalawela,Boossa,Algama,Oddamavadi,Aiyan koayil Gramam,Dagama,Galapitigala, Alutwela
Alutgamwidiya,Alawattegama,Beliatta,Algama Egodagama,Pottuvil,Aiyan Kulam,Ebawalapitiya,Galatanwewa, Alutwelagama
Alutgangoda,Alawattegama,China Garden,Algama Ihalagama,Pandiruppu,"Aliyawalai, Ariyalai",Ebawalayaya,Haba Diwulwewa, Alutwewa
Aluthgama,"Alawatugama, Alawatugoda",Companiwatta,Algama Medagama,Paddipalai,Chankanai,Edandewela,Haba Kudawewa, Amarakonegama
Aluthgamwidiya,Alayaya,Companywatta,"Algoda, Alkegama",Pasikudah,Changanacherry,Edandupitiya,Habarana, Amarakongama
Aluthkade,Alhentennawatta,Dabarella,Allagalla,Ranamadu,Chaalampan,Egalla,Habarattawala, Ambadandegama
